,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
,Open,High,Low,Close,Volume
Date,,,,,
2025-01-23,111225.29804254539,112023.99664890257,110376.63104670908,111564.265625,7377
2025-01-24,111824.35570176416,112491.10530253671,110837.3591180332,111309.7109375,4615
2025-01-27,111304.16660297653,111393.72904585644,109927.32929957855,111081.96875,4370
2025-01-28,110902.76302027391,112915.50013987612,110902.76302027391,112706.6796875,9345
2025-01-29,112173.80452739206,112623.49661717904,111425.02753363633,112158.78125,5682
2025-01-30,112218.69278172817,113322.00669687451,111869.68627390615,112445.8828125,7858
2025-01-31,111624.670676303,114426.51980050134,111624.670676303,113454.296875,6999
2025-02-01,113454.30150473313,114320.39428967558,112039.22723480185,114004.390625,4218
2025-02-03,113921.0737300404,114810.02908496783,113222.17143721806,113614.8515625,4291
2025-02-04,113821.2236268392,114827.04224820777,112933.6177689071,114754.4609375,5329
2025-02-05,114752.754456888,115238.94390974435,114145.80936598143,114780.4609375,5231
2025-02-06,115019.3358537383,115218.92079748353,109827.49083256262,113949.9140625,24120
2025-02-07,112273.65103768941,115011.24951125687,112124.08908063929,112698.0859375,9034
2025-02-10,112822.78745797578,113215.52214587135,110586.34714525273,110862.0703125,6609
2025-02-11,111283.20043237475,111354.83790685862,108249.2161036242,108545.953125,7514
2025-02-12,108545.9612165354,110793.47794254021,106168.24274693051,109222.59375,11043
2025-02-13,109827.49397587618,110206.89804597465,108868.50026711408,109594.859375,5402
2025-02-14,109518.98406404839,110428.33070849748,108353.38444628748,109306.1640625,4673
2025-02-17,109031.73151890274,110201.32492493904,107833.58062309063,109814.5234375,5051
2025-02-18,109432.11323412794,109830.4516028482,108532.5016062783,108852.4609375,3139
2025-02-19,108632.34387043183,109730.64881765126,108102.26352463427,109401.859375,3428
2025-02-20,109580.87672647698,110229.8750852215,108712.81802027307,109769.2890625,3751
2025-02-21,109730.6516969974,110200.92591855596,108618.36829399053,109094.9296875,5319
2025-02-24,109091.63713800738,109331.26731293985,107982.34911988249,108674.28125,4368
2025-02-25,108532.49936270715,109076.61274533611,106835.11896789022,107038.7578125,4923
2025-02-27,107233.50392574373,107713.61452188564,105088.2678457527,105560.484375,8469
2025-02-28,105317.46120244364,105486.9496271603,103664.11441208913,105211.328125,8766
2025-03-03,105337.42937047312,106027.2163626089,103864.70227737882,105008.1875,4599
2025-03-04,104738.35996506349,105008.19353780475,102193.28771004968,102501.2109375,13881
2025-03-05,102187.8939676231,105799.21901120305,101966.68068079265,105642.4609375,6770
2025-03-06,106830.6308429432,108083.19778634243,106335.94116069621,107629.1953125,5969
2025-03-07,107334.34695056354,108482.57484817422,106836.61511842534,107037.7578125,4698
2025-03-10,107672.83288134876,108031.23290212383,106011.1472933631,106486.265625,5348
2025-03-11,106335.88878728167,106695.28724238623,105413.35942817687,106370.1328125,3772
2025-03-12,106835.11813407076,107310.13502614819,106145.18293191522,107098.9609375,3589
2025-03-13,107098.9657297053,107098.9657297053,104638.51291062134,104879.7421875,9096
2025-03-17,105037.89513378537,106276.68643355637,105037.89513378537,105248.3671875,3890
2025-03-18,105248.3671875,105248.3671875,105248.3671875,105248.3671875,0
2025-03-19,107833.28365620428,109929.34567165676,107833.28365620428,109753.4140625,6057
2025-03-20,110329.72579933736,111278.26190349457,109991.39638777808,110936.6875,5687
2025-03-21,111268.2761478381,112626.13364838202,110871.34187406558,111877.484375,8367
2025-03-24,112815.893048431,114123.8744617724,112477.71183305646,113845.1015625,5731
2025-03-25,115746.36309491903,115821.24752219631,113334.93632782823,114088.421875,8037
2025-03-26,113950.6359666507,115322.01946215959,113724.58639941626,114145.0390625,5979
2025-03-27,113827.33007964381,114024.0265176822,112271.7308387108,113089.515625,10576
2025-03-28,113624.63783610784,114220.71787818303,111911.63315803207,112504.1171875,7320
2025-04-01,112326.64785231501,114235.35061548383,111727.57239710267,112862.8671875,3593
2025-04-02,113225.30211434144,115098.1616615256,112600.5163690926,114959.9296875,5030
2025-04-03,114323.56303139855,114822.79256428675,113624.64168535506,114693.4453125,3272
2025-04-04,114822.79105001749,114822.79105001749,112626.18113427803,113062.4609375,4440
2025-04-07,109830.49248429369,110650.72657134684,107834.5728981473,110215.3984375,7098
2025-04-08,111827.42063167981,113333.89262086185,111338.27707241985,112418.90625,4965
2025-04-09,112523.33681530037,113222.65595678348,111128.6923684368,112938.9921875,4967
2025-04-11,113125.41522375554,118566.97047720329,113125.41522375554,117363.2734375,17890
2025-04-15,119715.24755527644,122820.45539428318,118017.86706450104,122715.6171875,14655
2025-04-16,122760.54487935778,124582.73271510261,122695.64503863262,124298.171875,10139
2025-04-17,123908.77677777229,126664.52394865586,123798.9462745849,126280.1171875,15654
2025-04-21,127278.56924351833,127802.76025236593,126300.07936033615,126604.609375,6676
2025-04-22,127003.99798284439,128916.04716631252,126105.38478956954,127458.296875,9283
2025-04-23,129180.63962875059,129180.63962875059,126454.84625893694,127782.796875,6770
2025-04-24,127802.76323891626,130268.95718579221,127358.44894484346,129719.8046875,11841
2025-04-25,130298.9069604757,130498.59877190937,127203.68388325366,128456.75,7468
2025-04-28,128301.98628575541,130174.09698058647,128296.9939905692,130024.328125,4740
2025-04-29,130548.52594617107,132994.75071533452,130498.60299169835,132600.359375,7993
2025-04-30,132745.13055392922,135391.04703356753,131796.59445745512,134297.734375,11000
2025-05-02,134592.28485314272,135530.8363944035,133693.67167533984,134786.984375,6669
2025-05-05,135101.4981450191,137632.59191338526,135101.4981450191,135910.25,7072
2025-05-06,136589.21105267055,137058.48685087785,134292.75501889028,134782.0,5771
2025-05-07,131297.3699437402,141281.9608139866,131297.3699437402,140203.625,27052
2025-05-08,140533.1211489262,143054.23042708632,138136.819260774,138546.1875,15480
2025-05-09,137203.24440825314,138081.88833416562,135391.04131105865,137462.84375,9582
2025-05-12,140183.64302304806,140877.57202519206,139354.9220564588,139709.375,5916
2025-05-13,139884.12577888553,140852.6311465195,138785.82072280577,140208.625,6054
2025-05-14,140208.61888158362,141162.1473204792,140208.61888158362,140852.625,6640
2025-05-15,141281.96089653892,141656.38305439192,140647.9393759078,140922.515625,5969
2025-05-16,141546.5479577719,142240.47700112287,139784.26772537697,140048.859375,9730
2025-05-19,139195.17945587606,140438.2610025554,139195.17945587606,139929.046875,6621
2025-05-20,139884.12197393752,140932.50404440603,139270.06961837743,140023.90625,8983
2025-05-21,140583.0382682644,142280.41870190113,140283.50054468145,142065.75,7110
2025-05-22,142180.5714988233,142919.4312102638,141281.9583362605,142125.65625,5201
2025-05-23,142030.8130176794,143733.1858556066,141611.4601778381,143448.625,5635
2025-05-26,143778.1074168798,147207.81435421994,143483.56198849104,146399.0625,15301
2025-05-27,146399.0568679029,146568.7949048512,143398.6874500816,143763.125,9952
2025-05-28,144576.87948664074,144576.87948664074,141336.87966665352,142564.984375,14908
2025-05-29,142879.49265462547,144207.4432152869,139799.24642933183,140687.875,14872
2025-05-30,141471.67837693082,141626.43954672705,136953.65067804162,138651.03125,13777
2025-06-02,138186.73063943163,141182.10774866786,136798.87257881882,140533.109375,13350
2025-06-03,140543.10479884848,141681.34818809747,137238.20513357292,137867.234375,12154
2025-06-04,138556.158927161,138785.80450295727,135590.73562231366,135895.265625,10461
2025-06-05,136589.20436734112,140682.88666197634,136324.61270683422,140143.71875,15753
2025-06-06,140483.19716190067,140483.19716190067,137972.0724933706,139315.0,6901
2025-06-09,139324.9813395144,141117.21540504709,137997.0307505682,138381.4375,6140
2025-06-10,139185.18963093942,139185.18963093942,136344.5736732635,137637.578125,9402
2025-06-11,137787.35228850087,139235.1179466047,136289.66367666936,136669.078125,5607
2025-06-12,137218.2335048759,137557.7095973714,135291.20745041608,136174.84375,8399
2025-06-13,135585.74969344935,137787.35194739138,134791.97473114374,137407.9375,5875
2025-06-16,136589.1937823644,137233.19984954002,135690.58066537516,135935.203125,4147
2025-06-17,136089.96767280894,136818.8427747983,135795.42225488173,136139.890625,2551
2025-06-18,135890.2881025734,138286.59002355926,135890.2881025734,137737.4375,4151
2025-06-19,137537.74071297402,138436.35390093538,136848.803935537,137967.078125,3680
2025-06-20,138296.55648153313,138660.9940175649,132535.4480352228,134222.84375,24690
2025-06-23,134222.85849839548,135785.4470095164,134192.90472501935,135346.125,3479
2025-06-24,136289.66949710855,136913.7064453554,135620.70188858797,136399.5,4694
2025-06-25,136699.03528710819,139379.89796876683,136389.51296632076,139040.421875,5814
2025-06-26,139090.33709445057,142779.64326123564,138411.38494467686,142295.390625,11171
2025-06-27,142380.26018573475,145475.4832332507,141481.6470429075,142994.3125,20472
2025-06-30,143778.09778027536,144876.4026938747,141476.64975677858,142140.625,6320
2025-07-01,142779.6514254386,143473.58050054824,141471.67000328947,142280.421875,5748
2025-07-02,142579.96350113628,145455.52579023482,142579.96350113628,144986.25,7394
2025-07-03,145175.94785053824,147846.82584572522,143498.53662365442,144696.6875,7751
2025-07-04,145275.7908823325,145775.02040426494,143278.87279460285,143743.15625,4175
